Mouser OR Mfr. # (Input),Customer #,Mouser Part Number,Mfr Part Number,Manufacturer Name,Description,Min,Mult,Availability,Package Type,Qty. 1,Unit Price 1,Extended Price 1,Qty. 2,Price 2,Extended Price 2,Qty. 3,Price 3,Extended Price 3,Lead Time in Days,Lead Time in Weeks,Lifecycle,Pb Free,RoHS,Package Quantity,NCNR,Datasheet URL
490-CMI-1295IC-0385T,,490-CMI-1295IC-0385T,CMI-1295IC-0385T,CUI Devices,"Piezo Buzzers & Audio Indicators Piezo Buzzers & Audio Indicators buzzer, 12 mm x 9.5 mm deep, M, 3 V, 85 dB, Through Hole,  Integrated Circuit Audio Indicator",1,1,,BULK,1,"24,00 K?","24,00 K?",,,,,,,95,14,,No,No,100,No,https://www.mouser.com/datasheet/2/670/cmi_1295ic_0385t-1776836.pdf
667-EEU-FS1K151B,,667-EEU-FS1K151B,EEU-FS1K151B,Panasonic,Aluminum Electrolytic Capacitors - Radial Leaded Aluminum Electrolytic Capacitors - Radial Leaded 80VDC 150uF 930mA Polar,1,1,4 654,AMMO PACK,2,"18,07 K?","36,14 K?",,,,,,,186,27,,Yes,Yes,500,No,https://www.mouser.com/datasheet/2/315/Panasonic_08082018_Capacitor_Radial_Leaded_Lytic_(-1387098.pdf
80-C0603C223K1R,,80-C0603C223K1R,C0603C223K1RACTU,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 0.022uF X7R 0603 10%,1,1,182 440,REEL,7,"2,23 K?","15,61 K?",,,,,,,91,13,,Yes,Yes,4 000,No,https://www.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf
187-CL21A226MAYNNNE,,187-CL21A226MAYNNNE,CL21A226MAYNNNE,Samsung Electro-Mechanics,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 22uF+/-20% 25V X5R 2 0805,1,1,3 485,REEL,7,"5,59 K?","39,13 K?",,,,,,,123,18,,No,Yes,2 000,No,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf
187-CL21A225KAFNNNG,,187-CL21A225KAFNNNG,CL21A225KAFNNNG,Samsung Electro-Mechanics,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2uF+/-10% 25V X5R 0805,1,1,193 228,REEL,3,"2,69 K?","8,07 K?",,,,,,,,,,No,Yes,3 000,No,https://www.mouser.com/datasheet/2/585/MLCC-1837944.pdf
810-CGA3E2X7R2A102K,,810-CGA3E2X7R2A102K,CGA3E2X7R2A102K080AA,TDK,Multilayer Ceramic Capacitors MLCC - SMD/SMT Multilayer Ceramic Capacitors MLCC - SMD/SMT CGA 0603 100V 1000pF X7R 10% AEC-Q200,1,1,193 206,REEL,4,"2,23 K?","8,92 K?",,,,,,,182,26,,Yes,Yes,4 000,No,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf?ref_disty=mouser
603-SMAJ48CA/TR13,,603-SMAJ48CA/TR13,SMAJ48CA/TR13,YAGEO,ESD Suppressors / TVS Diodes ESD Suppressors / TVS Diodes SMAJ  DO-214AC  48V  77.4V,1,1,20 373,REEL,3,"6,70 K?","20,10 K?",,,,,,,148,22,,No,Yes,20 000,No,https://www.mouser.com/datasheet/2/447/SMAJ_1-1954892.pdf
637-BYG10D,,637-BYG10D,BYG10D,Diotec Semiconductor,"Rectifiers Rectifiers Diode, SMA, 200V, 1.5A",1,1,14 840,REEL,2,"3,58 K?","7,16 K?",,,,,,,78,12,,No,Yes,7 500,No,https://diotec.com/request/datasheet/byg10d.pdf
576-2920L150/60MR,,576-2920L150/60MR,2920L150/60MR,Littelfuse,Resettable Fuses - PPTC Resettable Fuses - PPTC PTC 60V POLYFUSE SURF MOUNT 2920 1.50A,1,1,1 150,REEL,2,"19,20 K?","38,40 K?",,,,,,,91,13,New Product,Yes,Yes,1 000,No,https://www.mouser.com/datasheet/2/240/Littelfuse_10_27_2023_2920L_Series_Datasheet-3359581.pdf
523-G800W304018EU,,523-G800W304018EU,G800W304018EU,Amphenol,"Headers & Wire Housings Headers & Wire Housings Pin Header 2.54mm Pitch STR DIP,1x4Pin,FULL G/F,NY6T,6.1mm*2.5mm*3.0mm,Color-Black,BAG",1,1,15 142,BULK,1,"2,45 K?","2,45 K?",,,,,,,41,6,,No,Yes,1 000,No,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_agilbrick_2_54mm_btb_header_g800.pdf
649-221111-00010T4LF,,649-221111-00010T4LF,20021111-00010T4LF,Amphenol,"Headers & Wire Housings Headers & Wire Housings 1.27x1.27mm BTB, Hdr Unshrd,Vert,T/H, 10",1,1,8 035,TUBE,1,"16,51 K?","16,51 K?",,,,,,,34,5,,No,Yes,93,No,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_minitek127_btb.pdf
652-SRN6045HA-470M,,652-SRN6045HA-470M,SRN6045HA-470M,Bourns,"Power Inductors - SMD Power Inductors - SMD Ind,6x6x4.7mm,47uH+/-20%,1A,semi-shd",1,1,2 036,REEL,1,"4,68 K?","4,68 K?",,,,,,,112,16,,No,Yes,1 000,No,https://www.mouser.com/datasheet/2/54/SRN6045HA_datasheet-2498144.pdf
652-SRN2010TA-100M,,652-SRN2010TA-100M,SRN2010TA-100M,Bourns,Power Inductors - SMD Power Inductors - SMD 10uH 20% 0.45A non-shdSMD AEC-Q200,1,1,2 664,REEL,1,"4,46 K?","4,46 K?",,,,,,,112,16,,Yes,Yes,2 000,No,https://www.mouser.com/datasheet/2/54/srn2010ta-1391479.pdf
621-DMN2310U-7,,621-DMN2310U-7,DMN2310U-7,Diodes Incorporated,MOSFET MOSFET MOSFET BVDSS: 8V-24V SOT23 T&R 3K,1,1,8 851,REEL,1,"5,14 K?","5,14 K?",,,,,,,56,8,,No,Yes,3 000,No,https://www.mouser.com/datasheet/2/115/DIOD_S_A0012994429_1-2543814.pdf
726-ISC080N10NM6ATMA,,726-ISC080N10NM6ATMA,ISC080N10NM6ATMA1,Infineon,MOSFET MOSFET TRENCH >=100V,1,1,10 580,REEL,4,"34,32 K?","137,28 K?",,,,,,,98,14,,No,Yes,5 000,No,https://www.mouser.com/datasheet/2/196/Infineon_ISC080N10NM6_DataSheet_v02_02_EN-3363527.pdf
71-CRCW060310K0FKECC,,71-CRCW060310K0FKECC,CRCW060310K0FKECC,Vishay,Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10Watt 10Kohms 1% Commercial Use,1,1,20 916,REEL,12,"0,36 K?","4,32 K?",,,,,,,168,24,,No,Yes,20 000,No,https://www.vishay.com/docs/20035/dcrcwe3.pdf
667-ERJ-P06J3R3V,,667-ERJ-P06J3R3V,ERJ-P06J3R3V,Panasonic,Thick Film Resistors - SMD Thick Film Resistors - SMD 0805 3.3ohms 0.5W 5% Tol AEC-Q200,1,1,593,REEL,7,"2,69 K?","18,83 K?",,,,,,,126,18,,No,Yes,5 000,No,https://www.mouser.com/datasheet/2/315/AOA0000C331-1141874.pdf
504-MSMA2512R0120FGM,,504-MSMA2512R0120FGM,MSMA2512R0120FGM,Eaton,"Current Sense Resistors - SMD Current Sense Resistors - SMD MSMA, 2512 SIZE, 3 Watt, 12 mohm, 50 TCR MnCu Metal AEC-Q",1,1,3 815,REEL,1,"7,82 K?","7,82 K?",,,,,,,111,16,New Product,Yes,Yes,4 000,No,https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-msma-automotive-smd-current-sense-resistor-metal-strip-data-sheet-elx1179.pdf
504-MLVC08V048C080,,504-MLVC08V048C080,MLVC08V048C080,Eaton,Varistors Varistors 48VDC  080PF,1,1,3 858,REEL,1,"10,94 K?","10,94 K?",,,,,,,119,17,,Yes,Yes,4 000,No,https://www.mouser.com/datasheet/2/87/eaton_mlvc_general_type_multilayer_varistor_esd_su-1994298.pdf
595-LMR38010FDDAR,,595-LMR38010FDDAR,LMR38010FDDAR,Texas Instruments,"Switching Voltage Regulators Switching Voltage Regulators SIMPLE SWITCHERÂ® 80-V, 1.0-A, 2.2-MHz step-down converter with 40-uA IQ 8-SO PowerPAD -40 to 150",1,1,3 333,REEL,1,"60,96 K?","60,96 K?",,,,,,,42,6,,Yes,Yes,2 500,No,https://www.ti.com/lit/gpn/lmr38010
595-UA78M33CKVURG3,,595-UA78M33CKVURG3,UA78M33CKVURG3,Texas Instruments,Linear Voltage Regulators Linear Voltage Regulators 3.3 V 500mA Fix Pos Voltage Regulator,1,1,17 738,REEL,1,"13,18 K?","13,18 K?",,,,,,,42,6,,No,Yes,2 500,No,https://www.ti.com/lit/gpn/ua78m
946-MP1917AGR-P,,946-MP1917AGR-P,MP1917AGR-P,Monolithic Power Systems (MPS),"Gate Drivers Gate Drivers ""100V, 4A, High Frequency Half-Bridge Gate Driver",1,1,347,REEL,2,"51,12 K?","102,24 K?",,,,,,,96,14,,Yes,Yes,500,No,https://www.mouser.com/datasheet/2/277/MP1917A-2945459.pdf
579-MCP1501T-25E/CHY,,579-MCP1501T-25E/CHY,MCP1501T-25E/CHY,Microchip,Voltage References Voltage References Precision Buffered Voltage Reference,1,1,18 635,REEL,1,"18,07 K?","18,07 K?",,,,,,,28,4,,Yes,Yes,3 000,No,https://www.mouser.com/datasheet/2/268/MCP1501_Data_Sheet_DS20005474F-2932251.pdf
595-INA241B1IDDFR,,595-INA241B1IDDFR,INA241B1IDDFR,Texas Instruments,Current Sense Amplifiers Current Sense Amplifiers -5-V to 110-V bidirectional high-precision current sense amplifier with enhanced PWM rejection 8-SOT-23-THIN -40 to 125,1,1,1 500,REEL,1,"63,36 K?","63,36 K?",,,,,,,93,14,New Product,No,Yes,3 000,No,https://www.ti.com/lit/gpn/ina241b
595-TCAN334GDCNT,,595-TCAN334GDCNT,TCAN334GDCNT,Texas Instruments,CAN Interface IC CAN Interface IC 3.3-V CAN Transceivers with CAN FD (Flexible Data Rate) 8-SOT-23 -40 to 125,1,1,3 689,REEL,1,"80,64 K?","80,64 K?",,,,,,,42,6,,Yes,Yes,250,No,https://www.ti.com/lit/gpn/tcan334g
579-MCP9700T-E/LT,,579-MCP9700T-E/LT,MCP9700T-E/LT,Microchip,Board Mount Temperature Sensors Board Mount Temperature Sensors Tiny 10mV/oC,1,1,111 869,REEL,1,"6,70 K?","6,70 K?",,,,,,,514,74,,Yes,Yes,3 000,No,https://www.mouser.com/datasheet/2/268/MCP9700_Family_Data_Sheet_DS20001942-3132871.pdf
621-AH49FZ3-G1,,621-AH49FZ3-G1,AH49FZ3-G1,Diodes Incorporated,Board Mount Hall Effect / Magnetic Sensors Board Mount Hall Effect / Magnetic Sensors Linear Hall Effect 10V Vcc 400mW,1,1,2 184,BULK,2,"24,48 K?","48,96 K?",,,,,,,91,13,,Yes,Yes,1 000,No,https://www.diodes.com/assets/Datasheets/AH49F.pdf
669-EA2532QA18-20T,,669-EA2532QA18-20T,EA2532QA18-20.000M TR,ABRACON,Crystals Crystals 20MHz 18pF 15ppm -40C +85C,1,1,509,REEL,1,"11,11 K?","11,11 K?",,,,,,,,,,Yes,Yes,1 000,No,https://www.mouser.com/datasheet/2/3/EA2532-2508887.pdf
